SH, 04, 1957122412,   , BEST,   0, 133S,  562E,-999
SH, 04, 1957122418,   , BEST,   0, 133S,  558E,-999
SH, 04, 1957122500,   , BEST,   0, 134S,  552E,-999
SH, 04, 1957122506,   , BEST,   0, 135S,  545E,-999
SH, 04, 1957122512,   , BEST,   0, 136S,  538E,-999
SH, 04, 1957122518,   , BEST,   0, 136S,  530E,-999
SH, 04, 1957122600,   , BEST,   0, 137S,  522E,-999
SH, 04, 1957122606,   , BEST,   0, 137S,  513E,-999
SH, 04, 1957122612,   , BEST,   0, 138S,  504E,-999
SH, 04, 1957122618,   , BEST,   0, 138S,  489E,-999
SH, 04, 1957122700,   , BEST,   0, 139S,  474E,-999
SH, 04, 1957122706,   , BEST,   0, 139S,  471E,-999
SH, 04, 1957122712,   , BEST,   0, 140S,  468E,-999
SH, 04, 1957122718,   , BEST,   0, 140S,  458E,-999
SH, 04, 1957122800,   , BEST,   0, 140S,  450E,-999
SH, 04, 1957122806,   , BEST,   0, 140S,  445E,-999
SH, 04, 1957122812,   , BEST,   0, 139S,  440E,-999
SH, 04, 1957122818,   , BEST,   0, 138S,  435E,-999
SH, 04, 1957122900,   , BEST,   0, 137S,  430E,-999
SH, 04, 1957122906,   , BEST,   0, 137S,  426E,-999
SH, 04, 1957122912,   , BEST,   0, 138S,  423E,-999
SH, 04, 1957122918,   , BEST,   0, 139S,  420E,-999
SH, 04, 1957123000,   , BEST,   0, 141S,  416E,-999
SH, 04, 1957123006,   , BEST,   0, 144S,  412E,-999
SH, 04, 1957123012,   , BEST,   0, 148S,  408E,-999
SH, 04, 1957123018,   , BEST,   0, 152S,  404E,-999
SH, 04, 1957123100,   , BEST,   0, 157S,  400E,-999
