SH, 20, 1961022018,   , BEST,   0, 130S,  950E,  15
SH, 20, 1961022100,   , BEST,   0, 130S,  950E,  15
SH, 20, 1961022106,   , BEST,   0, 132S,  952E,  15
SH, 20, 1961022112,   , BEST,   0, 135S,  955E,  20
SH, 20, 1961022118,   , BEST,   0, 138S,  958E,  20
SH, 20, 1961022200,   , BEST,   0, 140S,  960E,  15
SH, 20, 1961022206,   , BEST,   0, 140S,  960E,  15
SH, 20, 1961022212,   , BEST,   0, 140S,  960E,  15
SH, 20, 1961022218,   , BEST,   0, 140S,  960E,  15
SH, 20, 1961022300,   , BEST,   0, 140S,  960E,  10
SH, 20, 1961022306,   , BEST,   0, 140S,  960E,  10
SH, 20, 1961022312,   , BEST,   0, 140S,  960E,  20
SH, 20, 1961022318,   , BEST,   0, 140S,  960E,  25
SH, 20, 1961022400,   , BEST,   0, 140S,  961E,  15
SH, 20, 1961022406,   , BEST,   0, 140S,  963E,  10
SH, 20, 1961022412,   , BEST,   0, 139S,  967E,  15
SH, 20, 1961022418,   , BEST,   0, 138S,  972E,  15
SH, 20, 1961022500,   , BEST,   0, 137S,  977E,  10
SH, 20, 1961022506,   , BEST,   0, 136S,  981E,  10
SH, 20, 1961022512,   , BEST,   0, 135S,  985E,  15
SH, 20, 1961022518,   , BEST,   0, 135S,  989E,  15
SH, 20, 1961022600,   , BEST,   0, 134S,  993E,  15
SH, 20, 1961022606,   , BEST,   0, 133S,  997E,  15
SH, 20, 1961022612,   , BEST,   0, 132S, 1000E,  20
SH, 20, 1961022618,   , BEST,   0, 132S, 1003E,  20
SH, 20, 1961022700,   , BEST,   0, 130S, 1009E,  25
SH, 20, 1961022706,   , BEST,   0, 128S, 1015E,  25
SH, 20, 1961022712,   , BEST,   0, 126S, 1023E,  30
SH, 20, 1961022718,   , BEST,   0, 123S, 1030E,  30
SH, 20, 1961022800,   , BEST,   0, 121S, 1037E,  25
SH, 20, 1961022806,   , BEST,   0, 120S, 1043E,  20
SH, 20, 1961022812,   , BEST,   0, 120S, 1046E,  30
SH, 20, 1961022818,   , BEST,   0, 120S, 1048E,  30
SH, 20, 1961030100,   , BEST,   0, 120S, 1049E,  25
SH, 20, 1961030106,   , BEST,   0, 120S, 1050E,  25
SH, 20, 1961030112,   , BEST,   0, 120S, 1050E,  20
