SH, 23, 1962030118,   , BEST,   0, 150S, 1010E,  20
SH, 23, 1962030200,   , BEST,   0, 150S, 1010E,  10
SH, 23, 1962030206,   , BEST,   0, 152S, 1006E,  10
SH, 23, 1962030212,   , BEST,   0, 155S, 1001E,  20
SH, 23, 1962030218,   , BEST,   0, 158S,  996E,  25
SH, 23, 1962030300,   , BEST,   0, 160S,  991E,  20
SH, 23, 1962030306,   , BEST,   0, 160S,  988E,  20
SH, 23, 1962030312,   , BEST,   0, 160S,  986E,  10
SH, 23, 1962030318,   , BEST,   0, 160S,  983E,  10
SH, 23, 1962030400,   , BEST,   0, 160S,  980E,  10
SH, 23, 1962030406,   , BEST,   0, 160S,  976E,  10
SH, 23, 1962030412,   , BEST,   0, 160S,  966E,  10
SH, 23, 1962030418,   , BEST,   0, 160S,  958E,  10
SH, 23, 1962030500,   , BEST,   0, 160S,  952E,  10
SH, 23, 1962030506,   , BEST,   0, 160S,  946E,  10
SH, 23, 1962030512,   , BEST,   0, 160S,  941E,  15
